[2022-12-22T22:07:10.438+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: finance_data_lake.bronze_zone scheduled__2022-12-21T22:07:05.161335+00:00 [queued]>
[2022-12-22T22:07:10.449+0000] {taskinstance.py:1165} INFO - Dependencies all met for <TaskInstance: finance_data_lake.bronze_zone scheduled__2022-12-21T22:07:05.161335+00:00 [queued]>
[2022-12-22T22:07:10.450+0000] {taskinstance.py:1362} INFO - 
--------------------------------------------------------------------------------
[2022-12-22T22:07:10.450+0000] {taskinstance.py:1363} INFO - Starting attempt 1 of 1
[2022-12-22T22:07:10.450+0000] {taskinstance.py:1364} INFO - 
--------------------------------------------------------------------------------
[2022-12-22T22:07:10.471+0000] {taskinstance.py:1383} INFO - Executing <Task(PythonOperator): bronze_zone> on 2022-12-21 22:07:05.161335+00:00
[2022-12-22T22:07:10.474+0000] {standard_task_runner.py:55} INFO - Started process 2658 to run task
[2022-12-22T22:07:10.476+0000] {standard_task_runner.py:82} INFO - Running: ['airflow', 'tasks', 'run', 'finance_data_lake', 'bronze_zone', 'scheduled__2022-12-21T22:07:05.161335+00:00', '--job-id', '50', '--raw', '--subdir', 'DAGS_FOLDER/job_finance_data_lake.py', '--cfg-path', '/tmp/tmp94ctmar4']
[2022-12-22T22:07:10.477+0000] {standard_task_runner.py:83} INFO - Job 50: Subtask bronze_zone
[2022-12-22T22:07:10.533+0000] {task_command.py:376} INFO - Running <TaskInstance: finance_data_lake.bronze_zone scheduled__2022-12-21T22:07:05.161335+00:00 [running]> on host 92923f118f93
[2022-12-22T22:07:10.607+0000] {taskinstance.py:1590} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=airflow
AIRFLOW_CTX_DAG_ID=finance_data_lake
AIRFLOW_CTX_TASK_ID=bronze_zone
AIRFLOW_CTX_EXECUTION_DATE=2022-12-21T22:07:05.161335+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-12-21T22:07:05.161335+00:00
[2022-12-22T22:07:10.653+0000] {logging_mixin.py:137} INFO - Importing daily stock...
[2022-12-22T22:07:10.950+0000] {logging_mixin.py:137} INFO - [                       0%                       ]
[2022-12-22T22:07:10.950+0000] {logging_mixin.py:137} INFO - [                       0%                       ]
[2022-12-22T22:07:10.963+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  3 of 8187 completed
[2022-12-22T22:07:10.968+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  4 of 8187 completed
[2022-12-22T22:07:10.979+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  5 of 8187 completed
[2022-12-22T22:07:10.995+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  6 of 8187 completed
[2022-12-22T22:07:11.010+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  7 of 8187 completed
[2022-12-22T22:07:11.034+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  8 of 8187 completed
[2022-12-22T22:07:11.037+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  9 of 8187 completed
[2022-12-22T22:07:11.122+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  10 of 8187 completed
[2022-12-22T22:07:11.206+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  11 of 8187 completed
[2022-12-22T22:07:11.218+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  12 of 8187 completed
[2022-12-22T22:07:11.241+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  13 of 8187 completed
[2022-12-22T22:07:11.250+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  14 of 8187 completed
[2022-12-22T22:07:11.290+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  15 of 8187 completed
[2022-12-22T22:07:11.295+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  16 of 8187 completed
[2022-12-22T22:07:11.295+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  16 of 8187 completed
[2022-12-22T22:07:11.300+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  18 of 8187 completed
[2022-12-22T22:07:11.307+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  19 of 8187 completed
[2022-12-22T22:07:11.326+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  20 of 8187 completed
[2022-12-22T22:07:11.329+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  21 of 8187 completed
[2022-12-22T22:07:11.397+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  22 of 8187 completed
[2022-12-22T22:07:11.475+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  23 of 8187 completed
[2022-12-22T22:07:11.484+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  24 of 8187 completed
[2022-12-22T22:07:11.509+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  25 of 8187 completed
[2022-12-22T22:07:11.533+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  26 of 8187 completed
[2022-12-22T22:07:11.542+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  27 of 8187 completed
[2022-12-22T22:07:11.543+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  28 of 8187 completed
[2022-12-22T22:07:11.581+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  29 of 8187 completed
[2022-12-22T22:07:11.608+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  30 of 8187 completed
[2022-12-22T22:07:11.626+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  31 of 8187 completed
[2022-12-22T22:07:11.630+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  32 of 8187 completed
[2022-12-22T22:07:11.630+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  32 of 8187 completed
[2022-12-22T22:07:11.743+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  34 of 8187 completed
[2022-12-22T22:07:11.799+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  35 of 8187 completed
[2022-12-22T22:07:11.809+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  36 of 8187 completed
[2022-12-22T22:07:11.812+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  37 of 8187 completed
[2022-12-22T22:07:11.819+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  38 of 8187 completed
[2022-12-22T22:07:11.841+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  39 of 8187 completed
[2022-12-22T22:07:11.871+0000] {logging_mixin.py:137} INFO - [                       0%                       ]  40 of 8187 completed
[2022-12-22T22:07:11.890+0000] {logging_mixin.py:137} INFO - [                       1%                       ]  41 of 8187 completed
[2022-12-22T22:07:11.933+0000] {logging_mixin.py:137} INFO - [                       1%                       ]  42 of 8187 completed
[2022-12-22T22:07:12.028+0000] {logging_mixin.py:137} INFO - [                       1%                       ]  43 of 8187 completed
[2022-12-22T22:07:12.052+0000] {logging_mixin.py:137} INFO - [                       1%                       ]  44 of 8187 completed
